from 'A' to 'B'
-----------------------------------------------
x,y,g,h,f
7,9,12.0,12.0,24.0
2,15,1.0,23.0,24.0
3,15,2.0,22.0,24.0
4,15,3.0,21.0,24.0
5,15,4.0,20.0,24.0
6,15,5.0,19.0,24.0
7,15,6.0,18.0,24.0
8,15,7.0,17.0,24.0
9,15,8.0,16.0,24.0
10,15,9.0,15.0,24.0
11,15,10.0,14.0,24.0
12,15,11.0,13.0,24.0
6,1,19.0,7.0,26.0
7,1,20.0,6.0,26.0
8,1,21.0,5.0,26.0
9,1,22.0,4.0,26.0
10,1,23.0,3.0,26.0
11,1,24.0,2.0,26.0
12,1,25.0,1.0,26.0
5,2,19.0,7.0,26.0
12,2,26.0,0.0,26.0
-----------------------------------------------
from 'A' to 'E'
-----------------------------------------------
x,y,g,h,f
1,15,0.0,20.0,20.0
1,14,1.0,19.0,20.0
1,13,2.0,18.0,20.0
1,12,3.0,17.0,20.0
1,11,4.0,16.0,20.0
1,10,5.0,15.0,20.0
1,9,6.0,14.0,20.0
1,8,7.0,13.0,20.0
1,7,8.0,12.0,20.0
2,7,9.0,11.0,20.0
3,7,10.0,10.0,20.0
2,9,7.0,13.0,20.0
3,9,8.0,12.0,20.0
2,10,6.0,14.0,20.0
3,10,7.0,13.0,20.0
4,10,8.0,12.0,20.0
5,10,9.0,11.0,20.0
5,9,10.0,10.0,20.0
5,8,11.0,9.0,20.0
5,7,12.0,8.0,20.0
5,6,13.0,7.0,20.0
6,6,14.0,6.0,20.0
7,6,15.0,5.0,20.0
8,6,16.0,4.0,20.0
9,6,17.0,3.0,20.0
10,6,18.0,2.0,20.0
6,7,13.0,7.0,20.0
7,7,14.0,6.0,20.0
8,7,15.0,5.0,20.0
9,7,16.0,4.0,20.0
10,7,17.0,3.0,20.0
6,10,10.0,10.0,20.0
7,10,11.0,9.0,20.0
7,9,12.0,8.0,20.0
2,15,1.0,19.0,20.0
3,15,2.0,18.0,20.0
4,15,3.0,17.0,20.0
5,15,4.0,16.0,20.0
6,15,5.0,15.0,20.0
7,15,6.0,14.0,20.0
8,15,7.0,13.0,20.0
9,15,8.0,12.0,20.0
10,15,9.0,11.0,20.0
11,15,10.0,10.0,20.0
12,15,11.0,9.0,20.0
5,5,14.0,8.0,22.0
6,5,15.0,7.0,22.0
7,5,16.0,6.0,22.0
8,5,17.0,5.0,22.0
9,5,18.0,4.0,22.0
10,5,19.0,3.0,22.0
9,8,17.0,5.0,22.0
10,8,18.0,4.0,22.0
3,11,8.0,14.0,22.0
4,11,9.0,13.0,22.0
5,11,10.0,12.0,22.0
6,11,11.0,11.0,22.0
7,11,12.0,10.0,22.0
13,15,12.0,10.0,22.0
6,4,16.0,8.0,24.0
7,4,17.0,7.0,24.0
8,4,18.0,6.0,24.0
9,4,19.0,5.0,24.0
10,4,20.0,4.0,24.0
4,5,15.0,9.0,24.0
9,9,18.0,6.0,24.0
10,9,19.0,5.0,24.0
3,12,9.0,15.0,24.0
4,12,10.0,14.0,24.0
5,12,11.0,13.0,24.0
6,12,12.0,12.0,24.0
7,12,13.0,11.0,24.0
14,15,13.0,11.0,24.0
6,3,17.0,9.0,26.0
7,3,18.0,8.0,26.0
8,3,19.0,7.0,26.0
9,3,20.0,6.0,26.0
10,3,21.0,5.0,26.0
3,5,16.0,10.0,26.0
9,10,19.0,7.0,26.0
10,10,20.0,6.0,26.0
3,13,10.0,16.0,26.0
4,13,11.0,15.0,26.0
5,13,12.0,14.0,26.0
6,13,13.0,13.0,26.0
7,13,14.0,12.0,26.0
8,13,15.0,11.0,26.0
9,13,16.0,10.0,26.0
9,12,17.0,9.0,26.0
9,11,18.0,8.0,26.0
10,11,19.0,7.0,26.0
10,12,18.0,8.0,26.0
10,13,17.0,9.0,26.0
11,13,18.0,8.0,26.0
12,13,19.0,7.0,26.0
12,12,20.0,6.0,26.0
12,11,21.0,5.0,26.0
12,10,22.0,4.0,26.0
12,9,23.0,3.0,26.0
12,8,24.0,2.0,26.0
12,7,25.0,1.0,26.0
12,6,26.0,0.0,26.0
-----------------------------------------------
from 'A' to 'F'
-----------------------------------------------
x,y,g,h,f
1,15,0.0,15.0,15.0
2,15,1.0,14.0,15.0
3,15,2.0,13.0,15.0
4,15,3.0,12.0,15.0
5,15,4.0,11.0,15.0
6,15,5.0,10.0,15.0
7,15,6.0,9.0,15.0
8,15,7.0,8.0,15.0
9,15,8.0,7.0,15.0
10,15,9.0,6.0,15.0
11,15,10.0,5.0,15.0
12,15,11.0,4.0,15.0
13,15,12.0,3.0,15.0
14,15,13.0,2.0,15.0
15,15,14.0,1.0,15.0
16,15,15.0,0.0,15.0
-----------------------------------------------
from 'B' to 'C'
-----------------------------------------------
x,y,g,h,f
5,8,0.0,9.0,9.0
5,7,1.0,8.0,9.0
5,6,2.0,7.0,9.0
5,5,3.0,6.0,9.0
4,5,4.0,5.0,9.0
3,5,5.0,4.0,9.0
2,5,6.0,3.0,9.0
1,5,7.0,4.0,11.0
6,5,4.0,7.0,11.0
6,4,5.0,6.0,11.0
6,3,6.0,5.0,11.0
6,2,7.0,4.0,11.0
5,2,8.0,3.0,11.0
4,2,9.0,2.0,11.0
3,2,10.0,1.0,11.0
2,2,11.0,0.0,11.0
-----------------------------------------------
from 'B' to 'D'
-----------------------------------------------
x,y,g,h,f
5,8,0.0,13.0,13.0
5,7,1.0,12.0,13.0
5,6,2.0,11.0,13.0
5,5,3.0,10.0,13.0
6,5,4.0,9.0,13.0
6,4,5.0,8.0,13.0
6,3,6.0,7.0,13.0
6,2,7.0,6.0,13.0
7,2,8.0,5.0,13.0
8,2,9.0,4.0,13.0
9,2,10.0,3.0,13.0
10,2,11.0,2.0,13.0
7,3,7.0,6.0,13.0
8,3,8.0,5.0,13.0
9,3,9.0,4.0,13.0
10,3,10.0,3.0,13.0
7,4,6.0,7.0,13.0
8,4,7.0,6.0,13.0
9,4,8.0,5.0,13.0
10,4,9.0,4.0,13.0
7,5,5.0,8.0,13.0
8,5,6.0,7.0,13.0
9,5,7.0,6.0,13.0
10,5,8.0,5.0,13.0
6,6,3.0,10.0,13.0
7,6,4.0,9.0,13.0
8,6,5.0,8.0,13.0
9,6,6.0,7.0,13.0
10,6,7.0,6.0,13.0
6,7,2.0,11.0,13.0
7,7,3.0,10.0,13.0
8,7,4.0,9.0,13.0
9,7,5.0,8.0,13.0
10,7,6.0,7.0,13.0
6,1,8.0,7.0,15.0
7,1,9.0,6.0,15.0
8,1,10.0,5.0,15.0
9,1,11.0,4.0,15.0
10,1,12.0,3.0,15.0
11,1,13.0,2.0,15.0
12,1,14.0,1.0,15.0
5,2,8.0,7.0,15.0
12,2,15.0,0.0,15.0
-----------------------------------------------
from 'B' to 'E'
-----------------------------------------------
x,y,g,h,f
5,8,0.0,9.0,9.0
5,7,1.0,8.0,9.0
5,6,2.0,7.0,9.0
6,6,3.0,6.0,9.0
7,6,4.0,5.0,9.0
8,6,5.0,4.0,9.0
9,6,6.0,3.0,9.0
10,6,7.0,2.0,9.0
6,7,2.0,7.0,9.0
7,7,3.0,6.0,9.0
8,7,4.0,5.0,9.0
9,7,5.0,4.0,9.0
10,7,6.0,3.0,9.0
5,5,3.0,8.0,11.0
6,5,4.0,7.0,11.0
7,5,5.0,6.0,11.0
8,5,6.0,5.0,11.0
9,5,7.0,4.0,11.0
10,5,8.0,3.0,11.0
9,8,6.0,5.0,11.0
10,8,7.0,4.0,11.0
5,9,1.0,10.0,11.0
6,4,5.0,8.0,13.0
7,4,6.0,7.0,13.0
8,4,7.0,6.0,13.0
9,4,8.0,5.0,13.0
10,4,9.0,4.0,13.0
4,5,4.0,9.0,13.0
9,9,7.0,6.0,13.0
10,9,8.0,5.0,13.0
5,10,2.0,11.0,13.0
6,10,3.0,10.0,13.0
7,10,4.0,9.0,13.0
7,9,5.0,8.0,13.0
6,3,6.0,9.0,15.0
7,3,7.0,8.0,15.0
8,3,8.0,7.0,15.0
9,3,9.0,6.0,15.0
10,3,10.0,5.0,15.0
3,5,5.0,10.0,15.0
4,10,3.0,12.0,15.0
9,10,8.0,7.0,15.0
10,10,9.0,6.0,15.0
5,11,3.0,12.0,15.0
6,11,4.0,11.0,15.0
7,11,5.0,10.0,15.0
6,2,7.0,10.0,17.0
7,2,8.0,9.0,17.0
8,2,9.0,8.0,17.0
9,2,10.0,7.0,17.0
10,2,11.0,6.0,17.0
5,3,7.0,10.0,17.0
2,5,6.0,11.0,17.0
3,10,4.0,13.0,17.0
3,9,5.0,12.0,17.0
4,11,4.0,13.0,17.0
9,11,9.0,8.0,17.0
10,11,10.0,7.0,17.0
5,12,4.0,13.0,17.0
6,12,5.0,12.0,17.0
7,12,6.0,11.0,17.0
6,1,8.0,11.0,19.0
7,1,9.0,10.0,19.0
8,1,10.0,9.0,19.0
9,1,11.0,8.0,19.0
10,1,12.0,7.0,19.0
11,1,13.0,6.0,19.0
12,1,14.0,5.0,19.0
5,2,8.0,11.0,19.0
12,2,15.0,4.0,19.0
4,3,8.0,11.0,19.0
12,3,16.0,3.0,19.0
12,4,17.0,2.0,19.0
1,5,7.0,12.0,19.0
2,9,6.0,13.0,19.0
2,10,5.0,14.0,19.0
3,11,5.0,14.0,19.0
4,12,5.0,14.0,19.0
9,12,10.0,9.0,19.0
10,12,11.0,8.0,19.0
5,13,5.0,14.0,19.0
6,13,6.0,13.0,19.0
7,13,7.0,12.0,19.0
8,13,8.0,11.0,19.0
9,13,9.0,10.0,19.0
10,13,10.0,9.0,19.0
11,13,11.0,8.0,19.0
12,13,12.0,7.0,19.0
12,12,13.0,6.0,19.0
12,11,14.0,5.0,19.0
12,10,15.0,4.0,19.0
12,9,16.0,3.0,19.0
12,8,17.0,2.0,19.0
12,7,18.0,1.0,19.0
12,6,19.0,0.0,19.0
-----------------------------------------------
from 'B' to 'F'
-----------------------------------------------
x,y,g,h,f
5,8,0.0,18.0,18.0
5,9,1.0,17.0,18.0
5,10,2.0,16.0,18.0
6,10,3.0,15.0,18.0
7,10,4.0,14.0,18.0
5,11,3.0,15.0,18.0
6,11,4.0,14.0,18.0
7,11,5.0,13.0,18.0
5,12,4.0,14.0,18.0
6,12,5.0,13.0,18.0
7,12,6.0,12.0,18.0
5,13,5.0,13.0,18.0
6,13,6.0,12.0,18.0
7,13,7.0,11.0,18.0
8,13,8.0,10.0,18.0
9,13,9.0,9.0,18.0
10,13,10.0,8.0,18.0
11,13,11.0,7.0,18.0
12,13,12.0,6.0,18.0
13,13,13.0,5.0,18.0
14,13,14.0,4.0,18.0
15,13,15.0,3.0,18.0
16,13,16.0,2.0,18.0
15,14,16.0,2.0,18.0
16,14,17.0,1.0,18.0
15,15,17.0,1.0,18.0
16,15,18.0,0.0,18.0
-----------------------------------------------
from 'C' to 'D'
-----------------------------------------------
x,y,g,h,f
2,2,0.0,10.0,10.0
3,2,1.0,9.0,10.0
4,2,2.0,8.0,10.0
5,2,3.0,7.0,10.0
6,2,4.0,6.0,10.0
7,2,5.0,5.0,10.0
8,2,6.0,4.0,10.0
9,2,7.0,3.0,10.0
10,2,8.0,2.0,10.0
2,1,1.0,11.0,12.0
3,1,2.0,10.0,12.0
4,1,3.0,9.0,12.0
5,1,4.0,8.0,12.0
6,1,5.0,7.0,12.0
7,1,6.0,6.0,12.0
8,1,7.0,5.0,12.0
9,1,8.0,4.0,12.0
10,1,9.0,3.0,12.0
11,1,10.0,2.0,12.0
12,1,11.0,1.0,12.0
1,2,1.0,11.0,12.0
12,2,12.0,0.0,12.0
-----------------------------------------------
from 'C' to 'E'
-----------------------------------------------
x,y,g,h,f
2,2,0.0,14.0,14.0
3,2,1.0,13.0,14.0
4,2,2.0,12.0,14.0
5,2,3.0,11.0,14.0
6,2,4.0,10.0,14.0
7,2,5.0,9.0,14.0
8,2,6.0,8.0,14.0
9,2,7.0,7.0,14.0
10,2,8.0,6.0,14.0
2,3,1.0,13.0,14.0
3,3,2.0,12.0,14.0
4,3,3.0,11.0,14.0
5,3,4.0,10.0,14.0
6,3,5.0,9.0,14.0
7,3,6.0,8.0,14.0
8,3,7.0,7.0,14.0
9,3,8.0,6.0,14.0
10,3,9.0,5.0,14.0
6,4,6.0,8.0,14.0
7,4,7.0,7.0,14.0
8,4,8.0,6.0,14.0
9,4,9.0,5.0,14.0
10,4,10.0,4.0,14.0
6,5,7.0,7.0,14.0
7,5,8.0,6.0,14.0
8,5,9.0,5.0,14.0
9,5,10.0,4.0,14.0
10,5,11.0,3.0,14.0
6,6,8.0,6.0,14.0
7,6,9.0,5.0,14.0
8,6,10.0,4.0,14.0
9,6,11.0,3.0,14.0
10,6,12.0,2.0,14.0
2,1,1.0,15.0,16.0
3,1,2.0,14.0,16.0
4,1,3.0,13.0,16.0
5,1,4.0,12.0,16.0
6,1,5.0,11.0,16.0
7,1,6.0,10.0,16.0
8,1,7.0,9.0,16.0
9,1,8.0,8.0,16.0
10,1,9.0,7.0,16.0
11,1,10.0,6.0,16.0
12,1,11.0,5.0,16.0
1,2,1.0,15.0,16.0
12,2,12.0,4.0,16.0
1,3,2.0,14.0,16.0
12,3,13.0,3.0,16.0
12,4,14.0,2.0,16.0
5,5,8.0,8.0,16.0
5,6,9.0,7.0,16.0
6,7,9.0,7.0,16.0
7,7,10.0,6.0,16.0
8,7,11.0,5.0,16.0
9,7,12.0,4.0,16.0
10,7,13.0,3.0,16.0
1,1,2.0,16.0,18.0
13,1,12.0,6.0,18.0
13,2,13.0,5.0,18.0
13,3,14.0,4.0,18.0
13,4,15.0,3.0,18.0
4,5,9.0,9.0,18.0
5,7,10.0,8.0,18.0
9,8,13.0,5.0,18.0
10,8,14.0,4.0,18.0
14,1,13.0,7.0,20.0
14,2,14.0,6.0,20.0
14,3,15.0,5.0,20.0
14,4,16.0,4.0,20.0
3,5,10.0,10.0,20.0
5,8,11.0,9.0,20.0
9,9,14.0,6.0,20.0
10,9,15.0,5.0,20.0
15,1,14.0,8.0,22.0
15,2,15.0,7.0,22.0
15,3,16.0,6.0,22.0
15,4,17.0,5.0,22.0
2,5,11.0,11.0,22.0
5,9,12.0,10.0,22.0
9,10,15.0,7.0,22.0
10,10,16.0,6.0,22.0
16,1,15.0,9.0,24.0
16,2,16.0,8.0,24.0
16,3,17.0,7.0,24.0
16,4,18.0,6.0,24.0
1,5,12.0,12.0,24.0
16,5,19.0,5.0,24.0
16,6,20.0,4.0,24.0
15,6,21.0,3.0,24.0
14,6,22.0,2.0,24.0
13,6,23.0,1.0,24.0
12,6,24.0,0.0,24.0
-----------------------------------------------
from 'C' to 'F'
-----------------------------------------------
x,y,g,h,f
2,2,0.0,27.0,27.0
3,2,1.0,26.0,27.0
4,2,2.0,25.0,27.0
5,2,3.0,24.0,27.0
6,2,4.0,23.0,27.0
7,2,5.0,22.0,27.0
8,2,6.0,21.0,27.0
9,2,7.0,20.0,27.0
10,2,8.0,19.0,27.0
2,3,1.0,26.0,27.0
3,3,2.0,25.0,27.0
4,3,3.0,24.0,27.0
5,3,4.0,23.0,27.0
6,3,5.0,22.0,27.0
7,3,6.0,21.0,27.0
8,3,7.0,20.0,27.0
9,3,8.0,19.0,27.0
10,3,9.0,18.0,27.0
6,4,6.0,21.0,27.0
7,4,7.0,20.0,27.0
8,4,8.0,19.0,27.0
9,4,9.0,18.0,27.0
10,4,10.0,17.0,27.0
6,5,7.0,20.0,27.0
7,5,8.0,19.0,27.0
8,5,9.0,18.0,27.0
9,5,10.0,17.0,27.0
10,5,11.0,16.0,27.0
6,6,8.0,19.0,27.0
7,6,9.0,18.0,27.0
8,6,10.0,17.0,27.0
9,6,11.0,16.0,27.0
10,6,12.0,15.0,27.0
6,7,9.0,18.0,27.0
7,7,10.0,17.0,27.0
8,7,11.0,16.0,27.0
9,7,12.0,15.0,27.0
10,7,13.0,14.0,27.0
9,8,13.0,14.0,27.0
10,8,14.0,13.0,27.0
9,9,14.0,13.0,27.0
10,9,15.0,12.0,27.0
9,10,15.0,12.0,27.0
10,10,16.0,11.0,27.0
9,11,16.0,11.0,27.0
10,11,17.0,10.0,27.0
9,12,17.0,10.0,27.0
10,12,18.0,9.0,27.0
9,13,18.0,9.0,27.0
10,13,19.0,8.0,27.0
11,13,20.0,7.0,27.0
12,13,21.0,6.0,27.0
13,13,22.0,5.0,27.0
14,13,23.0,4.0,27.0
15,13,24.0,3.0,27.0
16,13,25.0,2.0,27.0
15,14,25.0,2.0,27.0
16,14,26.0,1.0,27.0
15,15,26.0,1.0,27.0
16,15,27.0,0.0,27.0
-----------------------------------------------
from 'D' to 'E'
-----------------------------------------------
x,y,g,h,f
12,2,0.0,4.0,4.0
12,3,1.0,3.0,4.0
12,4,2.0,2.0,4.0
12,1,1.0,5.0,6.0
13,2,1.0,5.0,6.0
13,3,2.0,4.0,6.0
13,4,3.0,3.0,6.0
11,1,2.0,6.0,8.0
13,1,2.0,6.0,8.0
14,2,2.0,6.0,8.0
14,3,3.0,5.0,8.0
14,4,4.0,4.0,8.0
10,1,3.0,7.0,10.0
14,1,3.0,7.0,10.0
10,2,4.0,6.0,10.0
15,2,3.0,7.0,10.0
10,3,5.0,5.0,10.0
15,3,4.0,6.0,10.0
10,4,6.0,4.0,10.0
15,4,5.0,5.0,10.0
10,5,7.0,3.0,10.0
10,6,8.0,2.0,10.0
9,1,4.0,8.0,12.0
15,1,4.0,8.0,12.0
9,2,5.0,7.0,12.0
16,2,4.0,8.0,12.0
9,3,6.0,6.0,12.0
16,3,5.0,7.0,12.0
9,4,7.0,5.0,12.0
16,4,6.0,6.0,12.0
9,5,8.0,4.0,12.0
16,5,7.0,5.0,12.0
9,6,9.0,3.0,12.0
16,6,8.0,4.0,12.0
15,6,9.0,3.0,12.0
14,6,10.0,2.0,12.0
13,6,11.0,1.0,12.0
12,6,12.0,0.0,12.0
-----------------------------------------------
from 'D' to 'F'
-----------------------------------------------
x,y,g,h,f
12,2,0.0,17.0,17.0
13,2,1.0,16.0,17.0
14,2,2.0,15.0,17.0
15,2,3.0,14.0,17.0
16,2,4.0,13.0,17.0
12,3,1.0,16.0,17.0
13,3,2.0,15.0,17.0
14,3,3.0,14.0,17.0
15,3,4.0,13.0,17.0
16,3,5.0,12.0,17.0
12,4,2.0,15.0,17.0
13,4,3.0,14.0,17.0
14,4,4.0,13.0,17.0
15,4,5.0,12.0,17.0
16,4,6.0,11.0,17.0
16,5,7.0,10.0,17.0
16,6,8.0,9.0,17.0
16,7,9.0,8.0,17.0
16,8,10.0,7.0,17.0
16,9,11.0,6.0,17.0
16,10,12.0,5.0,17.0
16,11,13.0,4.0,17.0
16,12,14.0,3.0,17.0
16,13,15.0,2.0,17.0
16,14,16.0,1.0,17.0
16,15,17.0,0.0,17.0
-----------------------------------------------
from 'E' to 'F'
-----------------------------------------------
x,y,g,h,f
12,6,0.0,13.0,13.0
13,6,1.0,12.0,13.0
14,6,2.0,11.0,13.0
15,6,3.0,10.0,13.0
16,6,4.0,9.0,13.0
12,7,1.0,12.0,13.0
13,7,2.0,11.0,13.0
14,7,3.0,10.0,13.0
15,7,4.0,9.0,13.0
16,7,5.0,8.0,13.0
12,8,2.0,11.0,13.0
13,8,3.0,10.0,13.0
14,8,4.0,9.0,13.0
15,8,5.0,8.0,13.0
16,8,6.0,7.0,13.0
12,9,3.0,10.0,13.0
13,9,4.0,9.0,13.0
14,9,5.0,8.0,13.0
15,9,6.0,7.0,13.0
16,9,7.0,6.0,13.0
12,10,4.0,9.0,13.0
13,10,5.0,8.0,13.0
14,10,6.0,7.0,13.0
15,10,7.0,6.0,13.0
16,10,8.0,5.0,13.0
12,11,5.0,8.0,13.0
13,11,6.0,7.0,13.0
14,11,7.0,6.0,13.0
15,11,8.0,5.0,13.0
16,11,9.0,4.0,13.0
12,12,6.0,7.0,13.0
13,12,7.0,6.0,13.0
14,12,8.0,5.0,13.0
15,12,9.0,4.0,13.0
16,12,10.0,3.0,13.0
12,13,7.0,6.0,13.0
13,13,8.0,5.0,13.0
14,13,9.0,4.0,13.0
15,13,10.0,3.0,13.0
16,13,11.0,2.0,13.0
15,14,11.0,2.0,13.0
16,14,12.0,1.0,13.0
15,15,12.0,1.0,13.0
16,15,13.0,0.0,13.0
-----------------------------------------------
